Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,Date,Date_reference,Date_sort,Date_hierarchy,local health board provider,local health board provider_reference,local health board provider_sort,local health board provider_hierarchy,specialty,specialty_reference,specialty_sort,specialty_hierarchy,stage of pathway,stage of pathway_reference,stage of pathway_sort,stage of pathway_hierarchy,weeks waiting,weeks waiting_reference,weeks waiting_sort,weeks waiting_hierarchy,age group,age group_reference,age group_sort,age group_hierarchy,Notes
1,1,Pathways waiting,1,1,,Jan-25,20250131,161,,Cwm Taf Morgannwg University Health Board,W11000030,7,W92000004,Radiology,810,69,T,All Stages of Pathway,T,5,,Over 34 weeks and up to 35 weeks,34,35,T,Total,T,,,
390,390,Pathways waiting,1,1,,Oct-24,20241031,158,,Betsi Cadwaladr University LHB,W11000023,2,W92000004,Allied Health Profession Services,999,2,T,"Waiting for diagnostic or AHP test, intervention or result",2,2,T,Over 11 weeks and up to 12 weeks,11,12,T,Total,T,,,
976,976,Pathways waiting,1,1,,Jan-25,20250131,161,,All Wales LHB (Provider),W92000004,1,,General Surgery,100,29,T,Waiting for admitted diagnostic or therapeutic intervention only,4,4,T,Over 49 weeks and up to 53 weeks,49 - 52,44,T,Total,T,,,
6,6,Pathways waiting,1,1,,Nov-24,20241130,159,,Aneurin Bevan LHB,W11000028,9,W92000004,Endocrinology,302,25,T,Waiting for follow-up OP appointment or decision (after OP appointment/diagnostic/AHP intervention result) or waiting & stage unknown,3,3,T,Over 14 weeks and up to 15 weeks,14,15,T,Total,T,,,
21,21,Pathways waiting,1,1,,Oct-24,20241031,158,,Cardiff and Vale University LHB,W11000029,10,W92000004,Clinical Immunology and Allergy,313,13,T,All Stages of Pathway,T,5,,Over 21 weeks and up to 22 weeks,21,22,T,Total,T,,,
22,22,Pathways waiting,1,1,,Sep-25,20250930,169,,All Wales LHB (Provider),W92000004,1,,"Ear, Nose and Throat",120,24,T,"Waiting for diagnostic or AHP test, intervention or result",2,2,T,Over 26 weeks and up to 27 weeks,26,27,T,Total,T,,,
99,99,Pathways waiting,1,1,,Nov-24,20241130,159,,All Wales LHB (Provider),W92000004,1,,Oral Surgery,140,59,T,Waiting for admitted diagnostic or therapeutic intervention only,4,4,T,Over 57 weeks and up to 61 weeks,57 - 60,46,T,Over 18 years of age,18,,T,
279,279,Pathways waiting,1,1,,Aug-24,20240831,156,,Swansea Bay University Health Board,W11000031,5,W92000004,Trauma and Orthopaedic,110,75,T,Waiting for admitted diagnostic or therapeutic intervention only,4,4,T,Over 77 weeks and up to 81 weeks,77 - 80,51,T,Total,T,,,
7,7,Pathways waiting,1,1,,Apr-25,20250430,164,,Swansea Bay University Health Board,W11000031,5,W92000004,Plastic Surgery,160,68,T,All Stages of Pathway,T,5,,Over 49 weeks and up to 53 weeks,49 - 52,44,T,Less than 18 years of age,17,,T,
105,105,Pathways waiting,1,1,,May-25,20250531,165,,All Wales LHB (Provider),W92000004,1,,Urology,101,76,T,"Waiting for diagnostic or AHP test, intervention or result",2,2,T,Over 81 weeks and up to 85 weeks,81 - 84,52,T,Total,T,,,
1,1,Pathways waiting,1,1,,Apr-25,20250430,164,,Cardiff and Vale University LHB,W11000029,10,W92000004,Clinical Immunology and Allergy,313,13,T,Waiting for follow-up OP appointment or decision (after OP appointment/diagnostic/AHP intervention result) or waiting & stage unknown,3,3,T,Over 35 weeks and up to 36 weeks,35,36,T,Total,T,,,
758,758,Pathways waiting,1,1,,Jan-25,20250131,161,,All Wales LHB (Provider),W92000004,1,,Gynaecology,502,34,T,All Stages of Pathway,T,5,,Over 28 weeks and up to 29 weeks,28,29,T,Total,T,,,
7,7,Pathways waiting,1,1,,Feb-25,20250228,162,,All Wales LHB (Provider),W92000004,1,,Paediatric Dentistry,142,61,T,Waiting for follow-up OP appointment or decision (after OP appointment/diagnostic/AHP intervention result) or waiting & stage unknown,3,3,T,Over 41 weeks and up to 45 weeks,41 - 44,42,T,Total,T,,,
542,542,Pathways waiting,1,1,,Nov-24,20241130,159,,Hywel Dda LHB,W11000025,4,W92000004,Cardiology,320,7,T,Waiting for follow-up OP appointment or decision (after OP appointment/diagnostic/AHP intervention result) or waiting & stage unknown,3,3,T,Over 1 week and up to 2 weeks,1,2,T,Total,T,,,
1,1,Pathways waiting,1,1,,May-25,20250531,165,,Cardiff and Vale University LHB,W11000029,10,W92000004,Neurology,400,49,T,All Stages of Pathway,T,5,,Over 9 weeks and up to 10 weeks,9,10,T,Less than 18 years of age,17,,T,
1,1,Pathways waiting,1,1,,Jun-25,20250630,166,,All Wales LHB (Provider),W92000004,1,,Neurology,400,49,T,"Waiting for diagnostic or AHP test, intervention or result",2,2,T,Over 18 weeks and up to 19 weeks,18,19,T,Total,T,,,
2,2,Pathways waiting,1,1,,Dec-24,20241231,160,,Cardiff and Vale University LHB,W11000029,10,W92000004,General Surgery,100,29,T,All Stages of Pathway,T,5,,Over 19 weeks and up to 20 weeks,19,20,T,Less than 18 years of age,17,,T,
17,17,Pathways waiting,1,1,,Jul-25,20250731,167,,Betsi Cadwaladr University LHB,W11000023,2,W92000004,Orthodontics,143,60,T,Waiting for new OP appointment,1,1,T,Over 29 weeks and up to 30 weeks,29,30,T,Total,T,,,
2,2,Pathways waiting,1,1,,Mar-25,20250331,163,,All Wales LHB (Provider),W92000004,1,,Paediatric Dentistry,142,61,T,Waiting for follow-up OP appointment or decision (after OP appointment/diagnostic/AHP intervention result) or waiting & stage unknown,3,3,T,Over 31 weeks and up to 32 weeks,31,32,T,Less than 18 years of age,17,,T,
112,112,Pathways waiting,1,1,,Mar-25,20250331,163,,All Wales LHB (Provider),W92000004,1,,Total,T,83,,Waiting for follow-up OP appointment or decision (after OP appointment/diagnostic/AHP intervention result) or waiting & stage unknown,3,3,T,Over 20 weeks and up to 21 weeks,20,21,T,Less than 18 years of age,17,,T,
11,11,Pathways waiting,1,1,,Jun-25,20250630,166,,Cwm Taf Morgannwg University Health Board,W11000030,7,W92000004,Endocrinology,302,25,T,All Stages of Pathway,T,5,,Over 30 weeks and up to 31 weeks,30,31,T,Over 18 years of age,18,,T,
8,8,Pathways waiting,1,1,,Nov-24,20241130,159,,Aneurin Bevan LHB,W11000028,9,W92000004,Gastroenterology,301,26,T,Waiting for admitted diagnostic or therapeutic intervention only,4,4,T,Over 33 weeks and up to 34 weeks,33,34,T,Total,T,,,
5,5,Pathways waiting,1,1,,Sep-24,20240930,157,,Hywel Dda LHB,W11000025,4,W92000004,Respiratory Medicine,340,71,T,Waiting for admitted diagnostic or therapeutic intervention only,4,4,T,Over 1 week and up to 2 weeks,1,2,T,Total,T,,,
30,30,Pathways waiting,1,1,,Nov-24,20241130,159,,Cardiff and Vale University LHB,W11000029,10,W92000004,Respiratory Medicine,340,71,T,All Stages of Pathway,T,5,,Over 36 weeks and up to 37 weeks,36,37,T,Over 18 years of age,18,,T,
384,384,Pathways waiting,1,1,,Oct-24,20241031,158,,Cardiff and Vale University LHB,W11000029,10,W92000004,Total,T,83,,Waiting for follow-up OP appointment or decision (after OP appointment/diagnostic/AHP intervention result) or waiting & stage unknown,3,3,T,Over 10 weeks and up to 11 weeks,10,11,T,Total,T,,,
"1,234",1234,Pathways waiting,1,1,,Nov-24,20241130,159,,All Wales LHB (Provider),W92000004,1,,"Ear, Nose and Throat",120,24,T,All Stages of Pathway,T,5,,Over 3 weeks and up to 4 weeks,3,4,T,Total,T,,,
55,55,Pathways waiting,1,1,,Aug-24,20240831,156,,All Wales LHB (Provider),W92000004,1,,Dermatology,330,21,T,All Stages of Pathway,T,5,,Over 31 weeks and up to 32 weeks,31,32,T,Less than 18 years of age,17,,T,
116,116,Pathways waiting,1,1,,Mar-25,20250331,163,,Aneurin Bevan LHB,W11000028,9,W92000004,Dermatology,330,21,T,All Stages of Pathway,T,5,,Over 22 weeks and up to 23 weeks,22,23,T,Over 18 years of age,18,,T,
12,12,Pathways waiting,1,1,,Aug-24,20240831,156,,Cardiff and Vale University LHB,W11000029,10,W92000004,Ophthalmology,130,58,T,Waiting for follow-up OP appointment or decision (after OP appointment/diagnostic/AHP intervention result) or waiting & stage unknown,3,3,T,Over 16 weeks and up to 17 weeks,16,17,T,Total,T,,,
17,17,Pathways waiting,1,1,,Sep-24,20240930,157,,All Wales LHB (Provider),W92000004,1,,Urology,101,76,T,Waiting for new OP appointment,1,1,T,Over 7 weeks and up to 8 weeks,7,8,T,Less than 18 years of age,17,,T,
41,41,Pathways waiting,1,1,,Feb-25,20250228,162,,Betsi Cadwaladr University LHB,W11000023,2,W92000004,Rheumatology,410,73,T,Waiting for new OP appointment,1,1,T,Over 19 weeks and up to 20 weeks,19,20,T,Total,T,,,
15,15,Pathways waiting,1,1,,Sep-25,20250930,169,,Hywel Dda LHB,W11000025,4,W92000004,General Medicine,300,27,T,Waiting for new OP appointment,1,1,T,Over 25 weeks and up to 26 weeks,25,26,T,Total,T,,,
560,560,Pathways waiting,1,1,,Nov-24,20241130,159,,Betsi Cadwaladr University LHB,W11000023,2,W92000004,Total,T,83,,"Waiting for diagnostic or AHP test, intervention or result",2,2,T,Over 105 weeks,105,58,T,Total,T,,,
457,457,Pathways waiting,1,1,,Jan-25,20250131,161,,Cardiff and Vale University LHB,W11000029,10,W92000004,Cardiology,320,7,T,All Stages of Pathway,T,5,,Over 49 weeks and up to 53 weeks,49 - 52,44,T,Over 18 years of age,18,,T,
54,54,Pathways waiting,1,1,,Jun-25,20250630,166,,All Wales LHB (Provider),W92000004,1,,Urology,101,76,T,"Waiting for diagnostic or AHP test, intervention or result",2,2,T,Over 97 weeks and up to 101 weeks,97 - 100,56,T,Over 18 years of age,18,,T,
2,2,Pathways waiting,1,1,,Jan-25,20250131,161,,All Wales LHB (Provider),W92000004,1,,Rehabilitation,314,70,T,Waiting for follow-up OP appointment or decision (after OP appointment/diagnostic/AHP intervention result) or waiting & stage unknown,3,3,T,Over 39 weeks and up to 40 weeks,39,40,T,Over 18 years of age,18,,T,
170,170,Pathways waiting,1,1,,Sep-25,20250930,169,,Hywel Dda LHB,W11000025,4,W92000004,Ophthalmology,130,58,T,All Stages of Pathway,T,5,,Over 32 weeks and up to 33 weeks,32,33,T,Total,T,,,
1,1,Pathways waiting,1,1,,Aug-24,20240831,156,,Swansea Bay University Health Board,W11000031,5,W92000004,"Ear, Nose and Throat",120,24,T,"Waiting for diagnostic or AHP test, intervention or result",2,2,T,Over 73 weeks and up to 77 weeks,73 - 76,50,T,Total,T,,,
183,183,Pathways waiting,1,1,,Jun-25,20250630,166,,Cwm Taf Morgannwg University Health Board,W11000030,7,W92000004,Total,T,83,,Waiting for admitted diagnostic or therapeutic intervention only,4,4,T,Over 38 weeks and up to 39 weeks,38,39,T,Total,T,,,
9,9,Pathways waiting,1,1,,Jan-25,20250131,161,,Cwm Taf Morgannwg University Health Board,W11000030,7,W92000004,Total,T,83,,Waiting for follow-up OP appointment or decision (after OP appointment/diagnostic/AHP intervention result) or waiting & stage unknown,3,3,T,Over 35 weeks and up to 36 weeks,35,36,T,Less than 18 years of age,17,,T,
29,29,Pathways waiting,1,1,,Jan-25,20250131,161,,Aneurin Bevan LHB,W11000028,9,W92000004,Haemotology (clinical),303,36,T,Waiting for follow-up OP appointment or decision (after OP appointment/diagnostic/AHP intervention result) or waiting & stage unknown,3,3,T,Total,T,59,,Over 18 years of age,18,,T,
1,1,Pathways waiting,1,1,,Feb-25,20250228,162,,All Wales LHB (Provider),W92000004,1,,Diagnostic Services,998,23,T,Waiting for new OP appointment,1,1,T,Over 97 weeks and up to 101 weeks,97 - 100,56,T,Over 18 years of age,18,,T,
"1,526",1526,Pathways waiting,1,1,,Jan-25,20250131,161,,All Wales LHB (Provider),W92000004,1,,Ophthalmology,130,58,T,All Stages of Pathway,T,5,,Over 20 weeks and up to 21 weeks,20,21,T,Total,T,,,
3,3,Pathways waiting,1,1,,Aug-24,20240831,156,,Hywel Dda LHB,W11000025,4,W92000004,Anaesthetics,190,3,T,All Stages of Pathway,T,5,,Over 12 weeks and up to 13 weeks,12,13,T,Over 18 years of age,18,,T,
236,236,Pathways waiting,1,1,,Aug-24,20240831,156,,Swansea Bay University Health Board,W11000031,5,W92000004,Oral Surgery,140,59,T,All Stages of Pathway,T,5,,Over 45 weeks and up to 49 weeks,45 - 48,43,T,Total,T,,,
2,2,Pathways waiting,1,1,,Jul-25,20250731,167,,Hywel Dda LHB,W11000025,4,W92000004,Endocrinology,302,25,T,Waiting for follow-up OP appointment or decision (after OP appointment/diagnostic/AHP intervention result) or waiting & stage unknown,3,3,T,Over 26 weeks and up to 27 weeks,26,27,T,Total,T,,,
620,620,Pathways waiting,1,1,,Jun-25,20250630,166,,Cwm Taf Morgannwg University Health Board,W11000030,7,W92000004,Diagnostic Services,998,23,T,All Stages of Pathway,T,5,,Over 0 weeks and up to 1 week,0,1,T,Over 18 years of age,18,,T,
77,77,Pathways waiting,1,1,,Nov-24,20241130,159,,Hywel Dda LHB,W11000025,4,W92000004,Allied Health Profession Services,999,2,T,All Stages of Pathway,T,5,,Over 27 weeks and up to 28 weeks,27,28,T,Total,T,,,
160,160,Pathways waiting,1,1,,Dec-24,20241231,160,,Betsi Cadwaladr University LHB,W11000023,2,W92000004,Ophthalmology,130,58,T,Waiting for admitted diagnostic or therapeutic intervention only,4,4,T,Over 41 weeks and up to 45 weeks,41 - 44,42,T,Total,T,,,
43,43,Pathways waiting,1,1,,Feb-25,20250228,162,,All Wales LHB (Provider),W92000004,1,,Restorative Dentistry,141,72,T,All Stages of Pathway,T,5,,Over 15 weeks and up to 16 weeks,15,16,T,Total,T,,,
9,9,Pathways waiting,1,1,,Sep-24,20240930,157,,Hywel Dda LHB,W11000025,4,W92000004,Gynaecology,502,34,T,Waiting for admitted diagnostic or therapeutic intervention only,4,4,T,Total,T,59,,Less than 18 years of age,17,,T,
4,4,Pathways waiting,1,1,,Sep-25,20250930,169,,All Wales LHB (Provider),W92000004,1,,Geriatric Medicine,430,31,T,"Waiting for diagnostic or AHP test, intervention or result",2,2,T,Over 9 weeks and up to 10 weeks,9,10,T,Over 18 years of age,18,,T,
1,1,Pathways waiting,1,1,,Sep-24,20240930,157,,Cardiff and Vale University LHB,W11000029,10,W92000004,Cardiothoracic Surgery,170,8,T,All Stages of Pathway,T,5,,Over 45 weeks and up to 49 weeks,45 - 48,43,T,Less than 18 years of age,17,,T,
2,2,Pathways waiting,1,1,,Sep-24,20240930,157,,All Wales LHB (Provider),W92000004,1,,Cardiothoracic Surgery,170,8,T,"Waiting for diagnostic or AHP test, intervention or result",2,2,T,Over 12 weeks and up to 13 weeks,12,13,T,Over 18 years of age,18,,T,
139,139,Pathways waiting,1,1,,Jan-25,20250131,161,,All Wales LHB (Provider),W92000004,1,,Vascular Surgery,107,79,T,All Stages of Pathway,T,5,,Over 13 weeks and up to 14 weeks,13,14,T,Over 18 years of age,18,,T,
142,142,Pathways waiting,1,1,,Nov-24,20241130,159,,Betsi Cadwaladr University LHB,W11000023,2,W92000004,"Ear, Nose and Throat",120,24,T,All Stages of Pathway,T,5,,Over 30 weeks and up to 31 weeks,30,31,T,Over 18 years of age,18,,T,
3,3,Pathways waiting,1,1,,Sep-25,20250930,169,,Aneurin Bevan LHB,W11000028,9,W92000004,Oral Surgery,140,59,T,Waiting for follow-up OP appointment or decision (after OP appointment/diagnostic/AHP intervention result) or waiting & stage unknown,3,3,T,Over 22 weeks and up to 23 weeks,22,23,T,Total,T,,,
62,62,Pathways waiting,1,1,,Sep-24,20240930,157,,Aneurin Bevan LHB,W11000028,9,W92000004,Allied Health Profession Services,999,2,T,All Stages of Pathway,T,5,,Over 33 weeks and up to 34 weeks,33,34,T,Over 18 years of age,18,,T,
1,1,Pathways waiting,1,1,,Nov-24,20241130,159,,Aneurin Bevan LHB,W11000028,9,W92000004,Restorative Dentistry,141,72,T,Waiting for new OP appointment,1,1,T,Total,T,59,,Over 18 years of age,18,,T,
7,7,Pathways waiting,1,1,,Apr-25,20250430,164,,Powys Teaching LHB,W11000024,3,W92000004,Urology,101,76,T,All Stages of Pathway,T,5,,Over 31 weeks and up to 32 weeks,31,32,T,Total,T,,,
14,14,Pathways waiting,1,1,,Mar-25,20250331,163,,Cwm Taf Morgannwg University Health Board,W11000030,7,W92000004,Nephrology,361,48,T,Waiting for new OP appointment,1,1,T,Over 0 weeks and up to 1 week,0,1,T,Total,T,,,
35,35,Pathways waiting,1,1,,Nov-24,20241130,159,,All Wales LHB (Provider),W92000004,1,,Diagnostic Services,998,23,T,Waiting for admitted diagnostic or therapeutic intervention only,4,4,T,Over 2 weeks and up to 3 weeks,2,3,T,Over 18 years of age,18,,T,
47,47,Pathways waiting,1,1,,Aug-24,20240831,156,,All Wales LHB (Provider),W92000004,1,,Urology,101,76,T,"Waiting for diagnostic or AHP test, intervention or result",2,2,T,Over 29 weeks and up to 30 weeks,29,30,T,Over 18 years of age,18,,T,
2,2,Pathways waiting,1,1,,Jul-25,20250731,167,,Betsi Cadwaladr University LHB,W11000023,2,W92000004,Plastic Surgery,160,68,T,Waiting for new OP appointment,1,1,T,Over 18 weeks and up to 19 weeks,18,19,T,Total,T,,,
214,214,Pathways waiting,1,1,,May-25,20250531,165,,Betsi Cadwaladr University LHB,W11000023,2,W92000004,Oral Surgery,140,59,T,All Stages of Pathway,T,5,,Over 61 weeks and up to 65 weeks,61 - 64,47,T,Over 18 years of age,18,,T,
24,24,Pathways waiting,1,1,,Nov-24,20241130,159,,Swansea Bay University Health Board,W11000031,5,W92000004,Haemotology (clinical),303,36,T,All Stages of Pathway,T,5,,Over 16 weeks and up to 17 weeks,16,17,T,Over 18 years of age,18,,T,
2,2,Pathways waiting,1,1,,Nov-24,20241130,159,,Cardiff and Vale University LHB,W11000029,10,W92000004,Anaesthetics,190,3,T,Waiting for follow-up OP appointment or decision (after OP appointment/diagnostic/AHP intervention result) or waiting & stage unknown,3,3,T,Over 25 weeks and up to 26 weeks,25,26,T,Total,T,,,
1,1,Pathways waiting,1,1,,Jan-25,20250131,161,,All Wales LHB (Provider),W92000004,1,,Orthodontics,143,60,T,Waiting for follow-up OP appointment or decision (after OP appointment/diagnostic/AHP intervention result) or waiting & stage unknown,3,3,T,Over 25 weeks and up to 26 weeks,25,26,T,Total,T,,,
18,18,Pathways waiting,1,1,,May-25,20250531,165,,Hywel Dda LHB,W11000025,4,W92000004,Haemotology (clinical),303,36,T,Waiting for new OP appointment,1,1,T,Over 8 weeks and up to 9 weeks,8,9,T,Total,T,,,
82,82,Pathways waiting,1,1,,Sep-24,20240930,157,,Hywel Dda LHB,W11000025,4,W92000004,"Ear, Nose and Throat",120,24,T,All Stages of Pathway,T,5,,Over 4 weeks and up to 5 weeks,4,5,T,Total,T,,,
33,33,Pathways waiting,1,1,,Aug-24,20240831,156,,Betsi Cadwaladr University LHB,W11000023,2,W92000004,Gastroenterology,301,26,T,Waiting for admitted diagnostic or therapeutic intervention only,4,4,T,Over 32 weeks and up to 33 weeks,32,33,T,Total,T,,,
108,108,Pathways waiting,1,1,,Jan-25,20250131,161,,Cwm Taf Morgannwg University Health Board,W11000030,7,W92000004,Total,T,83,,All Stages of Pathway,T,5,,Over 89 weeks and up to 93 weeks,89 - 92,54,T,Less than 18 years of age,17,,T,
10,10,Pathways waiting,1,1,,Aug-24,20240831,156,,Powys Teaching LHB,W11000024,3,W92000004,Ophthalmology,130,58,T,All Stages of Pathway,T,5,,Over 32 weeks and up to 33 weeks,32,33,T,Total,T,,,
112,112,Pathways waiting,1,1,,May-25,20250531,165,,Cwm Taf Morgannwg University Health Board,W11000030,7,W92000004,Cardiology,320,7,T,Waiting for new OP appointment,1,1,T,Over 12 weeks and up to 13 weeks,12,13,T,Total,T,,,
6,6,Pathways waiting,1,1,,Aug-25,20250831,168,,Swansea Bay University Health Board,W11000031,5,W92000004,Cardiothoracic Surgery,170,8,T,All Stages of Pathway,T,5,,Over 20 weeks and up to 21 weeks,20,21,T,Over 18 years of age,18,,T,
18,18,Pathways waiting,1,1,,Feb-25,20250228,162,,All Wales LHB (Provider),W92000004,1,,Gynaecology,502,34,T,"Waiting for diagnostic or AHP test, intervention or result",2,2,T,Over 34 weeks and up to 35 weeks,34,35,T,Total,T,,,
81,81,Pathways waiting,1,1,,May-25,20250531,165,,Aneurin Bevan LHB,W11000028,9,W92000004,Endocrinology,302,25,T,Waiting for new OP appointment,1,1,T,Over 16 weeks and up to 17 weeks,16,17,T,Total,T,,,
"3,761",3761,Pathways waiting,1,1,,Oct-24,20241031,158,,Hywel Dda LHB,W11000025,4,W92000004,General Surgery,100,29,T,Waiting for follow-up OP appointment or decision (after OP appointment/diagnostic/AHP intervention result) or waiting & stage unknown,3,3,T,Total,T,59,,Over 18 years of age,18,,T,
12,12,Pathways waiting,1,1,,Oct-25,20251031,170,,All Wales LHB (Provider),W92000004,1,,Cardiology,320,7,T,Waiting for new OP appointment,1,1,T,Over 31 weeks and up to 32 weeks,31,32,T,Less than 18 years of age,17,,T,
510,510,Pathways waiting,1,1,,Sep-24,20240930,157,,All Wales LHB (Provider),W92000004,1,,Urology,101,76,T,All Stages of Pathway,T,5,,Over 27 weeks and up to 28 weeks,27,28,T,Over 18 years of age,18,,T,
116,116,Pathways waiting,1,1,,Sep-24,20240930,157,,Cardiff and Vale University LHB,W11000029,10,W92000004,Clinical Immunology and Allergy,313,13,T,All Stages of Pathway,T,5,,Over 61 weeks and up to 65 weeks,61 - 64,47,T,Total,T,,,
3,3,Pathways waiting,1,1,,Apr-25,20250430,164,,Betsi Cadwaladr University LHB,W11000023,2,W92000004,General Surgery,100,29,T,All Stages of Pathway,T,5,,Over 33 weeks and up to 34 weeks,33,34,T,Less than 18 years of age,17,,T,
185,185,Pathways waiting,1,1,,Mar-25,20250331,163,,All Wales LHB (Provider),W92000004,1,,Neurology,400,49,T,Waiting for new OP appointment,1,1,T,Over 39 weeks and up to 40 weeks,39,40,T,Over 18 years of age,18,,T,
10,10,Pathways waiting,1,1,,Aug-25,20250831,168,,Cwm Taf Morgannwg University Health Board,W11000030,7,W92000004,Urology,101,76,T,Waiting for follow-up OP appointment or decision (after OP appointment/diagnostic/AHP intervention result) or waiting & stage unknown,3,3,T,Over 38 weeks and up to 39 weeks,38,39,T,Total,T,,,
20,20,Pathways waiting,1,1,,Sep-24,20240930,157,,Aneurin Bevan LHB,W11000028,9,W92000004,Gynaecology,502,34,T,Waiting for admitted diagnostic or therapeutic intervention only,4,4,T,Over 12 weeks and up to 13 weeks,12,13,T,Total,T,,,
16,16,Pathways waiting,1,1,,Nov-24,20241130,159,,Hywel Dda LHB,W11000025,4,W92000004,Clinical Neurophysiology,401,14,T,All Stages of Pathway,T,5,,Over 2 weeks and up to 3 weeks,2,3,T,Total,T,,,
18,18,Pathways waiting,1,1,,Feb-25,20250228,162,,All Wales LHB (Provider),W92000004,1,,Trauma and Orthopaedic,110,75,T,Waiting for new OP appointment,1,1,T,Over 53 weeks and up to 57 weeks,53 - 56,45,T,Less than 18 years of age,17,,T,
40,40,Pathways waiting,1,1,,Mar-25,20250331,163,,Swansea Bay University Health Board,W11000031,5,W92000004,General Surgery,100,29,T,All Stages of Pathway,T,5,,Over 97 weeks and up to 101 weeks,97 - 100,56,T,Total,T,,,
64,64,Pathways waiting,1,1,,Dec-24,20241231,160,,All Wales LHB (Provider),W92000004,1,,Urology,101,76,T,Waiting for follow-up OP appointment or decision (after OP appointment/diagnostic/AHP intervention result) or waiting & stage unknown,3,3,T,Over 25 weeks and up to 26 weeks,25,26,T,Total,T,,,
18,18,Pathways waiting,1,1,,Jul-25,20250731,167,,All Wales LHB (Provider),W92000004,1,,Nephrology,361,48,T,Waiting for new OP appointment,1,1,T,Over 25 weeks and up to 26 weeks,25,26,T,Over 18 years of age,18,,T,
14,14,Pathways waiting,1,1,,Oct-24,20241031,158,,Cardiff and Vale University LHB,W11000029,10,W92000004,Ophthalmology,130,58,T,Waiting for new OP appointment,1,1,T,Over 30 weeks and up to 31 weeks,30,31,T,Total,T,,,
17,17,Pathways waiting,1,1,,Aug-25,20250831,168,,Cardiff and Vale University LHB,W11000029,10,W92000004,Dental Medicine,450,20,T,All Stages of Pathway,T,5,,Over 6 weeks and up to 7 weeks,6,7,T,Total,T,,,
657,657,Pathways waiting,1,1,,Aug-25,20250831,168,,Hywel Dda LHB,W11000025,4,W92000004,Total,T,83,,Waiting for new OP appointment,1,1,T,Over 29 weeks and up to 30 weeks,29,30,T,Total,T,,,
13,13,Pathways waiting,1,1,,Sep-25,20250930,169,,All Wales LHB (Provider),W92000004,1,,Diagnostic Services,998,23,T,All Stages of Pathway,T,5,,Over 16 weeks and up to 17 weeks,16,17,T,Less than 18 years of age,17,,T,
6,6,Pathways waiting,1,1,,Nov-24,20241130,159,,Cwm Taf Morgannwg University Health Board,W11000030,7,W92000004,"Ear, Nose and Throat",120,24,T,Waiting for follow-up OP appointment or decision (after OP appointment/diagnostic/AHP intervention result) or waiting & stage unknown,3,3,T,Over 8 weeks and up to 9 weeks,8,9,T,Total,T,,,
21,21,Pathways waiting,1,1,,Oct-24,20241031,158,,All Wales LHB (Provider),W92000004,1,,Paediatrics,420,65,T,All Stages of Pathway,T,5,,Over 85 weeks and up to 89 weeks,85 - 88,53,T,Total,T,,,
1,1,Pathways waiting,1,1,,Jul-25,20250731,167,,Aneurin Bevan LHB,W11000028,9,W92000004,Cardiology,320,7,T,"Waiting for diagnostic or AHP test, intervention or result",2,2,T,Over 33 weeks and up to 34 weeks,33,34,T,Total,T,,,
2,2,Pathways waiting,1,1,,May-25,20250531,165,,Hywel Dda LHB,W11000025,4,W92000004,Chemical Pathology,822,10,T,Waiting for new OP appointment,1,1,T,Over 10 weeks and up to 11 weeks,10,11,T,Total,T,,,
569,569,Pathways waiting,1,1,,Sep-24,20240930,157,,All Wales LHB (Provider),W92000004,1,,General Surgery,100,29,T,Waiting for new OP appointment,1,1,T,Over 22 weeks and up to 23 weeks,22,23,T,Over 18 years of age,18,,T,
286,286,Pathways waiting,1,1,,Aug-24,20240831,156,,All Wales LHB (Provider),W92000004,1,,General Surgery,100,29,T,Waiting for follow-up OP appointment or decision (after OP appointment/diagnostic/AHP intervention result) or waiting & stage unknown,3,3,T,Over 6 weeks and up to 7 weeks,6,7,T,Over 18 years of age,18,,T,
12,12,Pathways waiting,1,1,,Jun-25,20250630,166,,Betsi Cadwaladr University LHB,W11000023,2,W92000004,Gastroenterology,301,26,T,"Waiting for diagnostic or AHP test, intervention or result",2,2,T,Over 4 weeks and up to 5 weeks,4,5,T,Total,T,,,
218,218,Pathways waiting,1,1,,Dec-24,20241231,160,,Betsi Cadwaladr University LHB,W11000023,2,W92000004,Gynaecology,502,34,T,All Stages of Pathway,T,5,,Over 11 weeks and up to 12 weeks,11,12,T,Over 18 years of age,18,,T,
3,3,Pathways waiting,1,1,,Oct-24,20241031,158,,Powys Teaching LHB,W11000024,3,W92000004,Urology,101,76,T,Waiting for new OP appointment,1,1,T,Over 28 weeks and up to 29 weeks,28,29,T,Total,T,,,
3,3,Pathways waiting,1,1,,Oct-25,20251031,170,,All Wales LHB (Provider),W92000004,1,,Neurosurgery,150,51,T,Waiting for new OP appointment,1,1,T,Over 16 weeks and up to 17 weeks,16,17,T,Less than 18 years of age,17,,T,
37,37,Pathways waiting,1,1,,Sep-24,20240930,157,,Aneurin Bevan LHB,W11000028,9,W92000004,Endocrinology,302,25,T,All Stages of Pathway,T,5,,Over 35 weeks and up to 36 weeks,35,36,T,Total,T,,,
1,1,Pathways waiting,1,1,,Oct-24,20241031,158,,Powys Teaching LHB,W11000024,3,W92000004,General Surgery,100,29,T,"Waiting for diagnostic or AHP test, intervention or result",2,2,T,Over 27 weeks and up to 28 weeks,27,28,T,Total,T,,,
