Data values,Data values_sort,Data description,Data description_reference,Data description_sort,Data description_hierarchy,Date,Date_reference,Date_sort,Date_hierarchy,local health board provider,local health board provider_reference,local health board provider_sort,local health board provider_hierarchy,specialty,specialty_reference,specialty_sort,specialty_hierarchy,stage of pathway,stage of pathway_reference,stage of pathway_sort,stage of pathway_hierarchy,weeks waiting,weeks waiting_reference,weeks waiting_sort,weeks waiting_hierarchy,age group,age group_reference,age group_sort,age group_hierarchy,Notes
10,10,Pathways waiting,1,1,,Sep-25,20250930,169,,Betsi Cadwaladr University LHB,W11000023,2,W92000004,Oral Surgery,140,59,T,All Stages of Pathway,T,5,,Over 6 weeks and up to 7 weeks,6,7,T,Less than 18 years of age,17,,T,
9,9,Pathways waiting,1,1,,Sep-25,20250930,169,,Powys Teaching LHB,W11000024,3,W92000004,Rheumatology,410,73,T,Waiting for new OP appointment,1,1,T,Over 13 weeks and up to 14 weeks,13,14,T,Total,T,,,
4,4,Pathways waiting,1,1,,Feb-25,20250228,162,,Betsi Cadwaladr University LHB,W11000023,2,W92000004,Total,T,83,,Waiting for follow-up OP appointment or decision (after OP appointment/diagnostic/AHP intervention result) or waiting & stage unknown,3,3,T,Over 39 weeks and up to 40 weeks,39,40,T,Less than 18 years of age,17,,T,
3,3,Pathways waiting,1,1,,May-25,20250531,165,,Hywel Dda LHB,W11000025,4,W92000004,Trauma and Orthopaedic,110,75,T,All Stages of Pathway,T,5,,Over 37 weeks and up to 38 weeks,37,38,T,Less than 18 years of age,17,,T,
13,13,Pathways waiting,1,1,,May-25,20250531,165,,Cwm Taf Morgannwg University Health Board,W11000030,7,W92000004,Paediatrics,420,65,T,Waiting for new OP appointment,1,1,T,Over 69 weeks and up to 73 weeks,69 - 72,49,T,Total,T,,,
82,82,Pathways waiting,1,1,,Nov-24,20241130,159,,Betsi Cadwaladr University LHB,W11000023,2,W92000004,Gastroenterology,301,26,T,Waiting for new OP appointment,1,1,T,Over 6 weeks and up to 7 weeks,6,7,T,Total,T,,,
614,614,Pathways waiting,1,1,,Jul-25,20250731,167,,Swansea Bay University Health Board,W11000031,5,W92000004,Total,T,83,,Waiting for new OP appointment,1,1,T,Over 33 weeks and up to 34 weeks,33,34,T,Over 18 years of age,18,,T,
65,65,Pathways waiting,1,1,,Jun-25,20250630,166,,All Wales LHB (Provider),W92000004,1,,Oral Surgery,140,59,T,Waiting for admitted diagnostic or therapeutic intervention only,4,4,T,Over 23 weeks and up to 24 weeks,23,24,T,Total,T,,,
"1,484",1484,Pathways waiting,1,1,,Jan-25,20250131,161,,Hywel Dda LHB,W11000025,4,W92000004,Total,T,83,,All Stages of Pathway,T,5,,Over 5 weeks and up to 6 weeks,5,6,T,Over 18 years of age,18,,T,
2,2,Pathways waiting,1,1,,Mar-25,20250331,163,,Powys Teaching LHB,W11000024,3,W92000004,Cardiology,320,7,T,All Stages of Pathway,T,5,,Over 35 weeks and up to 36 weeks,35,36,T,Total,T,,,
7,7,Pathways waiting,1,1,,Dec-24,20241231,160,,Hywel Dda LHB,W11000025,4,W92000004,Nephrology,361,48,T,All Stages of Pathway,T,5,,Over 7 weeks and up to 8 weeks,7,8,T,Over 18 years of age,18,,T,
43,43,Pathways waiting,1,1,,Sep-24,20240930,157,,Swansea Bay University Health Board,W11000031,5,W92000004,Plastic Surgery,160,68,T,All Stages of Pathway,T,5,,Over 69 weeks and up to 73 weeks,69 - 72,49,T,Over 18 years of age,18,,T,
38,38,Pathways waiting,1,1,,Sep-24,20240930,157,,Aneurin Bevan LHB,W11000028,9,W92000004,Endocrinology,302,25,T,All Stages of Pathway,T,5,,Over 27 weeks and up to 28 weeks,27,28,T,Over 18 years of age,18,,T,
164,164,Pathways waiting,1,1,,Jan-25,20250131,161,,Betsi Cadwaladr University LHB,W11000023,2,W92000004,Urology,101,76,T,All Stages of Pathway,T,5,,Over 15 weeks and up to 16 weeks,15,16,T,Over 18 years of age,18,,T,
1,1,Pathways waiting,1,1,,Oct-25,20251031,170,,Powys Teaching LHB,W11000024,3,W92000004,Ophthalmology,130,58,T,"Waiting for diagnostic or AHP test, intervention or result",2,2,T,Over 13 weeks and up to 14 weeks,13,14,T,Total,T,,,
"1,553",1553,Pathways waiting,1,1,,Oct-25,20251031,170,,All Wales LHB (Provider),W92000004,1,,General Surgery,100,29,T,All Stages of Pathway,T,5,,Over 61 weeks and up to 65 weeks,61 - 64,47,T,Total,T,,,
12,12,Pathways waiting,1,1,,Sep-24,20240930,157,,Hywel Dda LHB,W11000025,4,W92000004,Chemical Pathology,822,10,T,Waiting for new OP appointment,1,1,T,Over 2 weeks and up to 3 weeks,2,3,T,Total,T,,,
31,31,Pathways waiting,1,1,,Oct-25,20251031,170,,All Wales LHB (Provider),W92000004,1,,Dermatology,330,21,T,"Waiting for diagnostic or AHP test, intervention or result",2,2,T,Over 9 weeks and up to 10 weeks,9,10,T,Total,T,,,
5,5,Pathways waiting,1,1,,Dec-24,20241231,160,,Betsi Cadwaladr University LHB,W11000023,2,W92000004,Urology,101,76,T,All Stages of Pathway,T,5,,Over 10 weeks and up to 11 weeks,10,11,T,Less than 18 years of age,17,,T,
124,124,Pathways waiting,1,1,,Sep-25,20250930,169,,Aneurin Bevan LHB,W11000028,9,W92000004,Ophthalmology,130,58,T,All Stages of Pathway,T,5,,Over 89 weeks and up to 93 weeks,89 - 92,54,T,Over 18 years of age,18,,T,
37,37,Pathways waiting,1,1,,Sep-24,20240930,157,,All Wales LHB (Provider),W92000004,1,,Rehabilitation,314,70,T,Waiting for new OP appointment,1,1,T,Over 18 weeks and up to 19 weeks,18,19,T,Over 18 years of age,18,,T,
2,2,Pathways waiting,1,1,,Sep-24,20240930,157,,Powys Teaching LHB,W11000024,3,W92000004,General Medicine,300,27,T,All Stages of Pathway,T,5,,Over 14 weeks and up to 15 weeks,14,15,T,Total,T,,,
1,1,Pathways waiting,1,1,,Jun-25,20250630,166,,Betsi Cadwaladr University LHB,W11000023,2,W92000004,Urology,101,76,T,All Stages of Pathway,T,5,,Over 39 weeks and up to 40 weeks,39,40,T,Less than 18 years of age,17,,T,
6,6,Pathways waiting,1,1,,Aug-25,20250831,168,,Hywel Dda LHB,W11000025,4,W92000004,Respiratory Medicine,340,71,T,Waiting for new OP appointment,1,1,T,Over 25 weeks and up to 26 weeks,25,26,T,Total,T,,,
"4,909",4909,Pathways waiting,1,1,,Oct-24,20241031,158,,Aneurin Bevan LHB,W11000028,9,W92000004,Diagnostic Services,998,23,T,"Waiting for diagnostic or AHP test, intervention or result",2,2,T,Total,T,59,,Total,T,,,
75,75,Pathways waiting,1,1,,Nov-24,20241130,159,,Cardiff and Vale University LHB,W11000029,10,W92000004,Diagnostic Services,998,23,T,All Stages of Pathway,T,5,,Over 0 weeks and up to 1 week,0,1,T,Less than 18 years of age,17,,T,
27,27,Pathways waiting,1,1,,Feb-25,20250228,162,,Hywel Dda LHB,W11000025,4,W92000004,Gynaecology,502,34,T,Waiting for follow-up OP appointment or decision (after OP appointment/diagnostic/AHP intervention result) or waiting & stage unknown,3,3,T,Over 25 weeks and up to 26 weeks,25,26,T,Total,T,,,
239,239,Pathways waiting,1,1,,Oct-24,20241031,158,,Aneurin Bevan LHB,W11000028,9,W92000004,Ophthalmology,130,58,T,Waiting for new OP appointment,1,1,T,Over 23 weeks and up to 24 weeks,23,24,T,Total,T,,,
1,1,Pathways waiting,1,1,,Jun-25,20250630,166,,Cwm Taf Morgannwg University Health Board,W11000030,7,W92000004,Gynaecology,502,34,T,All Stages of Pathway,T,5,,Over 8 weeks and up to 9 weeks,8,9,T,Less than 18 years of age,17,,T,
75,75,Pathways waiting,1,1,,Mar-25,20250331,163,,Betsi Cadwaladr University LHB,W11000023,2,W92000004,Vascular Surgery,107,79,T,All Stages of Pathway,T,5,,Over 7 weeks and up to 8 weeks,7,8,T,Over 18 years of age,18,,T,
14,14,Pathways waiting,1,1,,Aug-24,20240831,156,,Betsi Cadwaladr University LHB,W11000023,2,W92000004,Urology,101,76,T,"Waiting for diagnostic or AHP test, intervention or result",2,2,T,Over 3 weeks and up to 4 weeks,3,4,T,Total,T,,,
2,2,Pathways waiting,1,1,,May-25,20250531,165,,All Wales LHB (Provider),W92000004,1,,Rehabilitation,314,70,T,Waiting for new OP appointment,1,1,T,Over 32 weeks and up to 33 weeks,32,33,T,Over 18 years of age,18,,T,
8,8,Pathways waiting,1,1,,Aug-25,20250831,168,,Powys Teaching LHB,W11000024,3,W92000004,General Surgery,100,29,T,Waiting for new OP appointment,1,1,T,Over 10 weeks and up to 11 weeks,10,11,T,Total,T,,,
4,4,Pathways waiting,1,1,,Aug-24,20240831,156,,All Wales LHB (Provider),W92000004,1,,Oral Surgery,140,59,T,"Waiting for diagnostic or AHP test, intervention or result",2,2,T,Over 16 weeks and up to 17 weeks,16,17,T,Total,T,,,
283,283,Pathways waiting,1,1,,May-25,20250531,165,,All Wales LHB (Provider),W92000004,1,,Gastroenterology,301,26,T,Waiting for new OP appointment,1,1,T,Over 24 weeks and up to 25 weeks,24,25,T,Total,T,,,
950,950,Pathways waiting,1,1,,Nov-24,20241130,159,,Betsi Cadwaladr University LHB,W11000023,2,W92000004,Total,T,83,,Waiting for new OP appointment,1,1,T,Over 26 weeks and up to 27 weeks,26,27,T,Over 18 years of age,18,,T,
6,6,Pathways waiting,1,1,,Jun-25,20250630,166,,All Wales LHB (Provider),W92000004,1,,Paediatrics,420,65,T,Waiting for admitted diagnostic or therapeutic intervention only,4,4,T,Over 17 weeks and up to 18 weeks,17,18,T,Total,T,,,
2,2,Pathways waiting,1,1,,Oct-24,20241031,158,,Cardiff and Vale University LHB,W11000029,10,W92000004,Rehabilitation,314,70,T,Waiting for new OP appointment,1,1,T,Over 37 weeks and up to 38 weeks,37,38,T,Total,T,,,
62,62,Pathways waiting,1,1,,Nov-24,20241130,159,,All Wales LHB (Provider),W92000004,1,,Allied Health Profession Services,999,2,T,"Waiting for diagnostic or AHP test, intervention or result",2,2,T,Over 39 weeks and up to 40 weeks,39,40,T,Total,T,,,
51,51,Pathways waiting,1,1,,Aug-25,20250831,168,,Hywel Dda LHB,W11000025,4,W92000004,Urology,101,76,T,Waiting for new OP appointment,1,1,T,Over 13 weeks and up to 14 weeks,13,14,T,Total,T,,,
3,3,Pathways waiting,1,1,,Jan-25,20250131,161,,All Wales LHB (Provider),W92000004,1,,Plastic Surgery,160,68,T,Waiting for follow-up OP appointment or decision (after OP appointment/diagnostic/AHP intervention result) or waiting & stage unknown,3,3,T,Over 14 weeks and up to 15 weeks,14,15,T,Less than 18 years of age,17,,T,
252,252,Pathways waiting,1,1,,Aug-25,20250831,168,,Hywel Dda LHB,W11000025,4,W92000004,Ophthalmology,130,58,T,All Stages of Pathway,T,5,,Over 85 weeks and up to 89 weeks,85 - 88,53,T,Total,T,,,
1,1,Pathways waiting,1,1,,May-25,20250531,165,,All Wales LHB (Provider),W92000004,1,,Orthodontics,143,60,T,Waiting for admitted diagnostic or therapeutic intervention only,4,4,T,Over 15 weeks and up to 16 weeks,15,16,T,Over 18 years of age,18,,T,
273,273,Pathways waiting,1,1,,Jun-25,20250630,166,,Cardiff and Vale University LHB,W11000029,10,W92000004,General Surgery,100,29,T,All Stages of Pathway,T,5,,Over 4 weeks and up to 5 weeks,4,5,T,Over 18 years of age,18,,T,
195,195,Pathways waiting,1,1,,Sep-24,20240930,157,,Swansea Bay University Health Board,W11000031,5,W92000004,Ophthalmology,130,58,T,All Stages of Pathway,T,5,,Over 15 weeks and up to 16 weeks,15,16,T,Total,T,,,
500,500,Pathways waiting,1,1,,Jun-25,20250630,166,,All Wales LHB (Provider),W92000004,1,,Total,T,83,,"Waiting for diagnostic or AHP test, intervention or result",2,2,T,Over 34 weeks and up to 35 weeks,34,35,T,Over 18 years of age,18,,T,
15,15,Pathways waiting,1,1,,Jul-25,20250731,167,,Betsi Cadwaladr University LHB,W11000023,2,W92000004,Diagnostic Services,998,23,T,All Stages of Pathway,T,5,,Over 93 weeks and up to 97 weeks,93 - 96,55,T,Total,T,,,
18,18,Pathways waiting,1,1,,Apr-25,20250430,164,,Hywel Dda LHB,W11000025,4,W92000004,Dermatology,330,21,T,Waiting for admitted diagnostic or therapeutic intervention only,4,4,T,Over 15 weeks and up to 16 weeks,15,16,T,Total,T,,,
6,6,Pathways waiting,1,1,,Oct-24,20241031,158,,Betsi Cadwaladr University LHB,W11000023,2,W92000004,Endocrinology,302,25,T,All Stages of Pathway,T,5,,Over 73 weeks and up to 77 weeks,73 - 76,50,T,Over 18 years of age,18,,T,
1,1,Pathways waiting,1,1,,Apr-25,20250430,164,,Aneurin Bevan LHB,W11000028,9,W92000004,Pain Management,191,66,T,Waiting for admitted diagnostic or therapeutic intervention only,4,4,T,Over 18 weeks and up to 19 weeks,18,19,T,Total,T,,,
194,194,Pathways waiting,1,1,,Mar-25,20250331,163,,Betsi Cadwaladr University LHB,W11000023,2,W92000004,Respiratory Medicine,340,71,T,All Stages of Pathway,T,5,,Over 1 week and up to 2 weeks,1,2,T,Over 18 years of age,18,,T,
207,207,Pathways waiting,1,1,,Aug-25,20250831,168,,Cwm Taf Morgannwg University Health Board,W11000030,7,W92000004,Diagnostic Services,998,23,T,"Waiting for diagnostic or AHP test, intervention or result",2,2,T,Over 14 weeks and up to 15 weeks,14,15,T,Total,T,,,
